name,m,epsk,sigma,delta
carbon_dioxide,2.03351,163.491,2.81786,1.17358
hydrogen_sulfide,1.2332,254.04,3.4229,1.0
nitrogen,0.998798,94.3513,3.61590,1.10537
methane,1.00082,142.508,3.74760,1.12673
ethane,1.56358,185.392,3.57406,1.16657
propane,2.41440,184.368,3.39176,1.15188
n-butane,2.48262,209.446,3.65040,1.15976
n-pentane,3.06424,212.528,3.62421,1.16385
n-hexane,3.51081,218.238,3.65575,1.16091
n-heptane,4.07032,220.494,3.63515,1.16631
n-octane,4.45475,225.287,3.67868,1.17934
n-nonane,4.85100,229.271,3.70469,1.18722
n-decane,5.27013,232.262,3.72188,1.20260
